순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
13,목격자,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,"1,021",21731749397,"2,524,027",4600439447,"514,733",스릴러,15세이상관람가,상업영화
14,조선명탐정: 흡혈괴마의 비밀,김석윤,청년필름(주),,(주)쇼박스,2018-02-08,개봉영화,장편,한국,"1,249",19691152764,"2,424,387",4072581264,"490,363",사극,12세이상관람가,상업영화
15,명당,박희곤,(주)주피터필름,,메가박스중앙(주)플러스엠,2018-09-19,개봉영화,장편,한국,"1,114",16989351874,"1,968,493",4281975824,"487,000",사극,12세이상관람가,상업영화
16,협상,이종석,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-09-19,개봉영화,장편,한국,918,15203375116,"1,743,437",3316984866,"367,403",범죄,15세이상관람가,상업영화
17,리틀 포레스트,임순례,(주)영화사수박,,메가박스중앙(주)플러스엠,2018-02-28,개봉영화,장편,한국,884,11924942185,"1,505,582",3853015885,"474,626",드라마,전체관람가,상업영화
18,골든슬럼버,노동석,영화사 집,,씨제이이앤엠(주),2018-02-14,개봉영화,장편,한국,833,11413087798,"1,387,562",2666693198,"315,506",범죄,15세이상관람가,상업영화
19,궁합,홍창표,(주)주피터필름,,씨제이이앤엠(주),2018-02-28,개봉영화,장편,한국,966,10479059438,"1,340,149",2478594738,"309,094",코미디,12세이상관람가,상업영화
20,사라진 밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",,씨네그루(주)키다리이엔티,2018-03-07,개봉영화,장편,한국,925,10686451316,"1,314,283",2577142716,"309,566",스릴러,15세이상관람가,상업영화
21,바람 바람 바람,이병헌,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,개봉영화,장편,한국,985,9702266675,"1,183,969",2250342475,"271,361",코미디,청소년관람불가,상업영화
22,챔피언,김용완,(주)코코너,,워너브러더스 코리아(주),2018-05-01,개봉영화,장편,한국,874,9441064230,"1,125,319",1846376630,"212,475",드라마,12세이상관람가,상업영화
23,염력,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,개봉영화,장편,한국,"1,099",7484684112,"990,111",1855120412,"238,805",드라마,15세이상관람가,상업영화
24,인랑,김지운,(주)루이스 픽쳐스,,워너브러더스 코리아(주),2018-07-25,개봉영화,장편,한국,"1,085",6995052173,"897,591",1768251473,"216,429",SF,15세이상관람가,상업영화
25,극장판 헬로카봇 : 백악기 시대,"최신규,김진철",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2018-08-01,개봉영화,장편,한국,758,6529607250,"872,608",1090712800,"140,401",애니메이션,전체관람가,상업영화
26,상류사회,변혁,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,개봉영화,장편,한국,867,6295389063,"766,219",1508450463,"180,106",드라마,청소년관람불가,상업영화
27,레슬러,김대웅,(주)안나푸르나필름,,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,개봉영화,장편,한국,957,6440492657,"765,963",1392248057,"159,549",드라마,15세이상관람가,상업영화
28,물괴,허종호,(주)태원엔터테인먼트,,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",2018-09-12,개봉영화,장편,한국,"1,183",6073819354,"718,800",1305855954,"148,032",액션,15세이상관람가,상업영화
29,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,"씨제이이앤엠(주),(주)칵테일 미디어",,씨제이이앤엠(주),2018-07-25,개봉영화,장편,한국,762,5000293600,"677,941",699258600,"91,723",애니메이션,전체관람가,상업영화
30,버닝,이창동,"파인하우스필름(주),나우필름(주)",,CGV아트하우스,2018-05-17,개봉영화,장편,한국,739,4714345098,"528,153",1765445398,"194,098",미스터리,청소년관람불가,상업영화
31,7년의 밤,추창민,"(주)바른손,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-03-28,개봉영화,장편,한국,872,3969375524,"528,014",1046793224,"133,744",스릴러,15세이상관람가,상업영화
32,변산,이준익,변산문화산업전문(유),,메가박스중앙(주)플러스엠,2018-07-04,개봉영화,장편,한국,763,3886144473,"474,153",1063664573,"126,391",드라마,15세이상관람가,상업영화
