,명사_숫자
10,"[('영화', 3739), ('첫사랑', 1197), ('김영광', 1020), ('박보영', 986), ('진짜', 776), ('사랑', 727), ('생각', 724), ('연기', 512), ('정말', 441), ('현실', 435), ('점', 358), ('더', 354), ('평점', 344), ('여운', 343), ('그냥', 335), ('추억', 334), ('보고', 328), ('것', 326), ('사람', 311), ('내', 306), ('그', 296), ('남자', 294), ('스토리', 292), ('공감', 287), ('타이밍', 286), ('이', 280), ('건축학개론', 275), ('시절', 269), ('결말', 267), ('배우', 265), ('볼', 258), ('때', 256), ('마음', 245), ('인생', 244), ('최고', 242), ('나', 241), ('내용', 239), ('재미', 231), ('느낌', 221), ('수', 220), ('좀', 219), ('중간', 211), ('친구', 211), ('만', 202), ('시간', 200), ('말', 198), ('우리', 196), ('마지막', 196), ('다시', 182), ('여자', 179), ('장면', 176), ('꼭', 174), ('이야기', 169), ('감동', 168), ('정도', 167), ('소녀', 165), ('추천', 165), ('또', 163), ('한번', 159), ('연애', 158), ('듯', 156), ('보기', 155), ('가슴', 153), ('거', 153), ('로맨스', 153), ('너', 151), ('왜', 149), ('기대', 149), ('번', 140), ('별로', 138), ('처음', 138), ('기억', 137), ('부분', 137), ('감정', 127), ('기분', 126), ('저', 126), ('웃기', 119), ('임', 118), ('결혼', 116), ('내내', 115), ('케미', 114), ('끝', 112), ('돈', 109), ('웃음', 109), ('하나', 107), ('개', 106), ('완전', 103), ('계속', 103), ('안', 102), ('역시', 102), ('이해', 100), ('주인공', 100), ('둘', 97), ('함', 96), ('눈물', 94), ('환승', 91), ('지금', 88), ('한국', 88), ('몰입', 88), ('달달', 84)]"
11,"[('영화', 2382), ('공포영화', 1355), ('진짜', 1098), ('공포', 777), ('귀신', 616), ('사람', 536), ('한국', 461), ('더', 440), ('돈', 432), ('그냥', 416), ('소리', 402), ('무서움', 393), ('개', 391), ('보고', 372), ('생각', 365), ('이', 360), ('노잼', 335), ('좀', 334), ('정도', 332), ('때', 328), ('스토리', 321), ('배우', 316), ('정말', 312), ('거', 310), ('점', 309), ('볼', 308), ('처음', 298), ('연기', 292), ('평점', 292), ('별로', 277), ('뭐', 269), ('것', 263), ('안', 261), ('하나', 259), ('장면', 248), ('내', 246), ('왜', 234), ('느낌', 230), ('눈', 226), ('임', 221), ('나', 221), ('알바', 216), ('혼자', 213), ('재미', 204), ('마지막', 198), ('중간', 196), ('시간', 189), ('진심', 188), ('중', 186), ('그', 185), ('내용', 179), ('끝', 177), ('최고', 175), ('함', 175), ('부분', 174), ('초반', 173), ('샬롯', 170), ('후반', 167), ('듯', 163), ('연출', 162), ('영화관', 155), ('감독', 155), ('호', 155), ('제일', 148), ('말', 146), ('저', 144), ('감', 143), ('레이브', 142), ('카운터', 135), ('걸', 135), ('팝콘', 134), ('봄', 132), ('이건', 132), ('집', 130), ('도', 128), ('최악', 127), ('역대', 125), ('계속', 123), ('보지', 122), ('애', 121), ('때문', 118), ('다큐', 116), ('기담', 116), ('긴장감', 116), ('부', 114), ('인', 112), ('수', 112), ('한국영', 112), ('여자', 111), ('기대', 108), ('몰입', 108), ('수준', 107), ('소름', 106), ('나름', 104), ('급식', 104), ('결말', 103), ('개인', 102), ('존나', 102), ('스크린', 102), ('친구', 100)]"
12,"[('영화', 4096), ('원작', 1786), ('감동', 1384), ('손예진', 1279), ('진짜', 900), ('소지섭', 748), ('정말', 738), ('연기', 700), ('눈물', 666), ('더', 558), ('사랑', 500), ('배우', 495), ('최고', 474), ('여운', 458), ('보고', 458), ('생각', 441), ('꼭', 372), ('일본', 369), ('만', 357), ('인생', 339), ('웃기', 311), ('것', 300), ('멜로', 294), ('리메이크', 293), ('사람', 290), ('재미', 289), ('마음', 284), ('한국', 282), ('그냥', 277), ('또', 249), ('이', 247), ('다시', 243), ('스토리', 233), ('울', 232), ('처음', 231), ('감성', 230), ('점', 229), ('때', 227), ('느낌', 227), ('가슴', 226), ('장면', 217), ('볼', 217), ('추천', 210), ('수', 210), ('평점', 208), ('펑펑', 205), ('웃음', 203), ('번', 192), ('나', 189), ('내', 187), ('마지막', 187), ('중간', 187), ('역시', 182), ('좀', 181), ('내용', 177), ('부분', 177), ('말', 177), ('지금', 170), ('저', 169), ('안', 168), ('한번', 167), ('정도', 164), ('시간', 164), ('가족', 160), ('엄마', 158), ('거', 154), ('한국판', 150), ('판', 149), ('작품', 146), ('기대', 145), ('왜', 144), ('이야기', 143), ('계속', 141), ('그', 138), ('내내', 136), ('비교', 133), ('아들', 129), ('슬픔', 126), ('보기', 124), ('듯', 121), ('간만', 121), ('개인', 119), ('로맨스', 118), ('감정', 114), ('코믹', 114), ('아이', 112), ('완전', 110), ('몰입', 109), ('기도', 109), ('봄', 108), ('명작', 105), ('하나', 104), ('조금', 103), ('요소', 102), ('이상', 101), ('함', 100), ('이건', 97), ('제', 93), ('눈', 93), ('분', 92)]"
13,"[('영화', 4004), ('진짜', 1216), ('산사태', 916), ('현실', 730), ('개연', 628), ('사람', 624), ('고구마', 622), ('개', 577), ('경찰', 572), ('말', 568), ('마지막', 547), ('점', 521), ('생각', 517), ('범인', 501), ('스토리', 486), ('연기', 486), ('배우', 455), ('돈', 439), ('이성민', 434), ('평점', 418), ('이', 405), ('주인공', 404), ('감독', 399), ('정말', 393), ('처음', 387), ('장면', 380), ('왜', 376), ('좀', 372), ('그냥', 371), ('볼', 340), ('암', 338), ('보고', 332), ('것', 327), ('최악', 325), ('때', 297), ('스릴러', 295), ('내', 292), ('사회', 291), ('알바', 288), ('스릴', 272), ('시간', 270), ('아파트', 265), ('쓰레기', 263), ('전개', 263), ('거', 261), ('더', 259), ('긴장감', 254), ('나', 251), ('내용', 249), ('뭐', 249), ('임', 248), ('정도', 238), ('이해', 228), ('발암', 223), ('걸', 219), ('끝', 214), ('중간', 205), ('하나', 203), ('도', 193), ('느낌', 187), ('살인', 185), ('재미', 183), ('부분', 181), ('갑자기', 180), ('함', 178), ('메세지', 177), ('안', 175), ('내내', 174), ('그', 170), ('우리', 167), ('연출', 165), ('보지', 163), ('수', 160), ('설정', 154), ('억지', 151), ('공감', 151), ('노잼', 151), ('가족', 150), ('시나리오', 148), ('산', 141), ('듯', 138), ('상황', 138), ('갑', 136), ('욕', 134), ('연기력', 134), ('저', 133), ('집', 130), ('관객', 129), ('별로', 127), ('꼭', 127), ('최고', 125), ('전', 125), ('한국영', 121), ('망치', 121), ('움', 121), ('무관심', 118), ('이건', 117), ('나름', 115), ('무슨', 115), ('때문', 114)]"
14,"[('영화', 1887), ('오달수', 943), ('편', 925), ('김지원', 744), ('시리즈', 709), ('진짜', 637), ('김명민', 493), ('연기', 493), ('재미', 446), ('명탐정', 444), ('스토리', 434), ('조선', 425), ('그냥', 423), ('볼', 404), ('생각', 400), ('점', 395), ('배우', 375), ('평점', 346), ('정말', 331), ('역시', 325), ('코믹', 288), ('기대', 268), ('감동', 267), ('중간', 259), ('시간', 259), ('보고', 255), ('웃음', 251), ('이', 248), ('좀', 243), ('것', 243), ('보기', 238), ('추리', 230), ('돈', 230), ('알바', 216), ('더', 212), ('정도', 207), ('최고', 207), ('사람', 200), ('별로', 199), ('가족', 198), ('개그', 193), ('이번', 192), ('내용', 185), ('이민기', 182), ('왜', 182), ('다음', 180), ('판타지', 177), ('거', 163), ('저', 157), ('웃기', 155), ('콤비', 154), ('노잼', 153), ('편이', 152), ('때', 150), ('케미', 145), ('임', 142), ('처음', 141), ('나', 140), ('마지막', 138), ('듯', 138), ('용', 136), ('때문', 136), ('흡혈귀', 135), ('장면', 134), ('말', 133), ('편도', 131), ('계속', 130), ('개', 129), ('수', 129), ('코미디', 128), ('뭐', 127), ('최악', 127), ('부분', 127), ('요소', 126), ('느낌', 126), ('완전', 125), ('실망', 124), ('함', 124), ('안', 123), ('중', 121), ('킬링타임', 120), ('연출', 113), ('나름', 113), ('감독', 113), ('제일', 113), ('난', 110), ('추천', 110), ('내', 106), ('물', 105), ('탐정', 99), ('이건', 94), ('코드', 93), ('수준', 93), ('그', 90), ('조금', 88), ('전편', 87), ('만', 87), ('억지', 87), ('염력', 86), ('또', 85)]"
15,"[('연기', 1837), ('영화', 1691), ('조승우', 1496), ('배우', 1208), ('스토리', 960), ('지성', 769), ('관상', 497), ('볼', 470), ('연기력', 436), ('역사', 362), ('진짜', 357), ('좀', 315), ('생각', 303), ('왕', 272), ('더', 268), ('그냥', 267), ('점', 260), ('역시', 260), ('내용', 260), ('정말', 258), ('느낌', 256), ('재미', 254), ('최고', 251), ('것', 247), ('안시성', 236), ('이', 233), ('사람', 207), ('추석', 203), ('몰입', 203), ('소재', 199), ('땅', 193), ('전개', 183), ('시간', 178), ('보고', 175), ('조금', 175), ('말', 171), ('가족', 168), ('왜', 166), ('평점', 162), ('백윤식', 161), ('정도', 160), ('함', 158), ('사극', 144), ('노잼', 144), ('기대', 141), ('연출', 140), ('별로', 136), ('끝', 134), ('이야기', 133), ('듯', 132), ('보기', 131), ('그', 130), ('하나', 130), ('때', 129), ('때문', 128), ('뭐', 115), ('감', 113), ('마지막', 112), ('추천', 112), ('저', 110), ('긴장감', 108), ('중간', 107), ('수', 103), ('굿', 103), ('뭔가', 102), ('문채원', 98), ('임', 94), ('부분', 93), ('거', 91), ('몰입도', 90), ('나름', 88), ('감독', 87), ('지루함', 87), ('흥선대원군', 84), ('은', 83), ('안', 82), ('돈', 82), ('유재', 81), ('사실', 81), ('전체', 80), ('개연', 80), ('무난', 80), ('개인', 79), ('역할', 78), ('나', 78), ('욕심', 76), ('궁합', 76), ('알바', 76), ('약간', 76), ('개', 75), ('캐릭터', 75), ('결말', 75), ('만', 74), ('모두', 74), ('봄', 74), ('처음', 73), ('아주', 73), ('장면', 73), ('내', 72), ('승', 72)]"
16,"[('현빈', 2578), ('영화', 2218), ('손예진', 1662), ('연기', 1412), ('배우', 729), ('진짜', 714), ('스토리', 625), ('볼', 496), ('긴장감', 438), ('시간', 425), ('생각', 375), ('점', 336), ('연기력', 319), ('이', 306), ('정말', 304), ('최고', 303), ('악역', 284), ('그냥', 282), ('내용', 271), ('좀', 254), ('평점', 250), ('더', 243), ('기대', 231), ('보고', 228), ('몰입', 225), ('왜', 223), ('재미', 222), ('반전', 217), ('역시', 210), ('마지막', 209), ('결말', 207), ('얼굴', 206), ('것', 203), ('알바', 194), ('끝', 192), ('돈', 191), ('안시성', 185), ('정도', 180), ('함', 178), ('추천', 165), ('말', 159), ('추석', 158), ('안', 156), ('사람', 155), ('제목', 154), ('한국영', 154), ('때', 153), ('꼭', 151), ('전개', 150), ('거', 149), ('임', 146), ('느낌', 136), ('수', 134), ('감', 134), ('집', 133), ('처음', 133), ('뭐', 131), ('완전', 128), ('나름', 128), ('듯', 124), ('보기', 116), ('인질', 114), ('내내', 112), ('대박', 112), ('몰입도', 111), ('저', 110), ('개', 109), ('이상', 109), ('별로', 108), ('하나', 105), ('굿', 104), ('현실', 102), ('대안', 101), ('한국', 100), ('조금', 100), ('나', 99), ('도', 98), ('노잼', 98), ('그', 98), ('걸', 97), ('장면', 97), ('중간', 97), ('스릴', 96), ('킬링타임', 95), ('또', 95), ('명당', 93), ('은', 93), ('때문', 92), ('만', 92), ('한번', 91), ('감독', 90), ('시나리오', 90), ('짱', 89), ('중', 89), ('연출', 87), ('집중', 87), ('용', 86), ('두', 86), ('존잘', 86), ('긴장', 85)]"
17,"[('영화', 7160), ('힐링', 2682), ('마음', 958), ('생각', 586), ('시골', 576), ('정말', 545), ('것', 529), ('보고', 514), ('느낌', 476), ('음식', 446), ('수', 441), ('나', 439), ('김태리', 439), ('진짜', 436), ('때', 424), ('원작', 393), ('더', 385), ('기분', 382), ('요리', 358), ('그냥', 352), ('이', 325), ('내내', 314), ('배우', 302), ('내', 286), ('시간', 281), ('자연', 279), ('사람', 271), ('일본', 265), ('삶', 252), ('최고', 239), ('추천', 234), ('인생', 233), ('연기', 231), ('그', 230), ('만', 228), ('위로', 223), ('친구', 220), ('꼭', 216), ('볼', 215), ('귀농', 210), ('또', 207), ('한국', 193), ('말', 192), ('보기', 189), ('숲', 188), ('현실', 183), ('자극', 183), ('엄마', 183), ('다시', 181), ('처음', 175), ('끼', 174), ('저', 174), ('영상', 171), ('장면', 166), ('사계절', 158), ('미소', 156), ('재미', 155), ('살', 154), ('평점', 154), ('점', 151), ('눈', 151), ('듯', 148), ('한번', 148), ('먹방', 146), ('일상', 145), ('속', 145), ('스토리', 143), ('하나', 142), ('생활', 142), ('시세', 140), ('잠시', 137), ('곳', 137), ('감동', 136), ('농촌', 131), ('공감', 130), ('좀', 129), ('봄', 129), ('집', 128), ('여운', 127), ('계절', 125), ('감독', 125), ('풍경', 124), ('조금', 123), ('자체', 122), ('거', 120), ('류준열', 118), ('도시', 117), ('판', 117), ('내용', 114), ('청춘', 111), ('왜', 110), ('행복', 110), ('우리', 110), ('안', 109), ('밥', 109), ('번', 108), ('제대로', 108), ('돈', 108), ('지금', 104), ('맛', 103)]"
18,"[('영화', 3409), ('강동원', 2124), ('진짜', 901), ('점', 707), ('배우', 631), ('평점', 584), ('스토리', 543), ('연기', 535), ('생각', 474), ('감동', 472), ('그냥', 435), ('이', 416), ('보고', 404), ('정말', 400), ('돈', 383), ('볼', 382), ('왜', 380), ('개연', 356), ('것', 355), ('시간', 349), ('친구', 345), ('사람', 337), ('내용', 336), ('얼굴', 327), ('알바', 320), ('한효주', 291), ('좀', 286), ('최악', 281), ('내', 268), ('원작', 266), ('더', 265), ('재미', 259), ('거', 248), ('말', 244), ('뭐', 244), ('감독', 235), ('처음', 223), ('우정', 221), ('느낌', 214), ('정도', 212), ('개', 211), ('나', 206), ('수', 205), ('중간', 205), ('끝', 202), ('하나', 191), ('노잼', 179), ('결말', 178), ('마지막', 178), ('이건', 174), ('임', 168), ('때', 167), ('별로', 166), ('저', 165), ('연출', 165), ('보기', 162), ('도', 161), ('때문', 155), ('음악', 155), ('억지', 148), ('걸', 145), ('장면', 145), ('염력', 144), ('긴장감', 138), ('댓글', 138), ('안', 136), ('기대', 132), ('전개', 132), ('그', 129), ('보지', 128), ('난', 128), ('듯', 127), ('노래', 120), ('일본', 119), ('액션', 119), ('진심', 118), ('나름', 117), ('꼭', 117), ('부분', 117), ('역시', 115), ('함', 115), ('가족', 113), ('쓰레기', 108), ('추천', 107), ('조작', 107), ('초반', 105), ('작품', 105), ('동원', 103), ('한번', 101), ('장르', 100), ('못', 99), ('이해', 97), ('감', 97), ('몰입', 96), ('리얼', 94), ('최고', 94), ('눈', 93), ('만', 93), ('점도', 89), ('한국', 88)]"
19,"[('영화', 2659), ('이승기', 1139), ('연기', 742), ('심은경', 530), ('볼', 488), ('진짜', 477), ('생각', 468), ('배우', 457), ('스토리', 420), ('보기', 387), ('평점', 383), ('그냥', 380), ('점', 380), ('사극', 345), ('재미', 315), ('돈', 307), ('알바', 291), ('보고', 291), ('시간', 289), ('관상', 279), ('이', 273), ('사랑', 272), ('정말', 246), ('더', 245), ('것', 243), ('봄', 235), ('중간', 227), ('내용', 226), ('수', 223), ('느낌', 219), ('좀', 218), ('사람', 209), ('기대', 207), ('드라마', 176), ('왜', 171), ('정도', 170), ('노잼', 169), ('기분', 167), ('저', 163), ('최악', 160), ('영상', 157), ('인생', 154), ('내', 152), ('뭐', 144), ('감동', 143), ('거', 138), ('나', 135), ('만', 135), ('승기', 132), ('로맨스', 132), ('웃음', 131), ('함', 131), ('별로', 123), ('듯', 121), ('마지막', 117), ('가족', 117), ('처음', 116), ('안', 112), ('임', 111), ('용', 110), ('말', 110), ('전개', 109), ('하나', 109), ('장면', 108), ('눈', 107), ('나름', 105), ('대사', 105), ('때', 104), ('코미디', 104), ('도윤', 103), ('개', 100), ('코믹', 100), ('무엇', 100), ('추천', 99), ('움', 98), ('댓글', 98), ('소재', 93), ('마음', 93), ('역시', 92), ('부분', 92), ('조금', 91), ('끝', 90), ('킬링타임', 90), ('상큼', 89), ('또', 88), ('걸', 85), ('완전', 84), ('도', 84), ('주인공', 83), ('그', 80), ('때문', 79), ('연기력', 78), ('꼭', 78), ('대안', 77), ('개연', 76), ('실망', 75), ('상미', 75), ('수준', 73), ('목소리', 73), ('조복', 72)]"
20,"[('반전', 1383), ('영화', 1303), ('연기', 649), ('김강우', 486), ('진짜', 382), ('스토리', 336), ('생각', 301), ('스릴러', 291), ('배우', 285), ('볼', 283), ('원작', 266), ('더', 261), ('알바', 217), ('김상경', 213), ('시간', 208), ('평점', 186), ('정말', 186), ('긴장감', 185), ('그냥', 181), ('결말', 177), ('좀', 170), ('연기력', 170), ('김희애', 168), ('점', 165), ('느낌', 161), ('보고', 161), ('마지막', 160), ('정도', 150), ('몰입', 148), ('연출', 142), ('예상', 141), ('바디', 140), ('것', 126), ('돈', 124), ('재미', 121), ('최고', 118), ('스릴', 118), ('사람', 117), ('기대', 117), ('대박', 116), ('이', 114), ('추천', 110), ('내용', 104), ('못', 103), ('거', 102), ('별로', 98), ('노잼', 98), ('전개', 95), ('끝', 93), ('왜', 92), ('만', 91), ('나름', 90), ('중간', 86), ('조금', 85), ('한국', 85), ('리메이크', 85), ('부분', 85), ('집중', 85), ('몰입도', 84), ('꼭', 83), ('밤', 82), ('듯', 82), ('말', 81), ('감', 79), ('저', 78), ('처음', 78), ('내', 77), ('뭐', 76), ('안', 76), ('초반', 75), ('임', 75), ('개', 73), ('한국영', 73), ('억지', 73), ('함', 68), ('수', 68), ('형사', 65), ('하나', 64), ('완전', 63), ('때', 60), ('그', 59), ('소름', 59), ('줄', 58), ('역시', 58), ('알', 57), ('작품', 57), ('뭔가', 56), ('개연', 55), ('감독', 54), ('중반', 54), ('나', 53), ('후반', 50), ('간만', 50), ('긴장', 49), ('굿', 49), ('드라마', 47), ('내내', 46), ('댓글', 46), ('약간', 46), ('보기', 45)]"
21,"[('영화', 1344), ('바람', 453), ('생각', 358), ('그냥', 326), ('진짜', 292), ('배우', 250), ('볼', 221), ('불륜', 188), ('연기', 186), ('점', 186), ('알바', 184), ('재미', 181), ('평점', 179), ('돈', 173), ('감독', 165), ('보고', 159), ('보기', 158), ('코미디', 158), ('사람', 157), ('시간', 145), ('내용', 142), ('왜', 133), ('스물', 132), ('정말', 129), ('송지효', 122), ('이', 118), ('것', 117), ('이성민', 110), ('난', 107), ('뭐', 105), ('더', 104), ('노잼', 103), ('이엘', 103), ('좀', 99), ('코믹', 97), ('저', 96), ('거', 93), ('말', 92), ('스토리', 90), ('기대', 87), ('웃음', 85), ('웃기', 84), ('나', 84), ('소재', 83), ('정도', 82), ('대사', 79), ('중간', 79), ('별로', 76), ('신하균', 75), ('나름', 73), ('수', 72), ('개', 71), ('이병헌', 70), ('함', 70), ('장면', 67), ('느낌', 66), ('쓰레기', 66), ('임', 65), ('걸', 64), ('처음', 62), ('내', 62), ('때', 61), ('만', 61), ('킬링타임', 60), ('추천', 59), ('현실', 58), ('기분', 57), ('공감', 56), ('반전', 54), ('간만', 53), ('움', 53), ('하나', 53), ('듯', 53), ('발암', 53), ('바람바람', 52), ('용', 52), ('안', 51), ('매력', 51), ('부부', 50), ('코드', 49), ('이해', 48), ('감동', 48), ('역시', 48), ('부분', 47), ('완전', 47), ('잼', 46), ('끝', 46), ('막장', 46), ('이건', 45), ('최악', 45), ('그', 44), ('작품', 44), ('뭔가', 44), ('제목', 43), ('아주', 43), ('최고', 42), ('의미', 41), ('남자', 41), ('보지', 41), ('봄', 39)]"
22,"[('영화', 1338), ('마동석', 745), ('감동', 399), ('스토리', 373), ('가족', 280), ('볼', 246), ('연기', 213), ('그냥', 205), ('진짜', 199), ('재미', 198), ('점', 190), ('마블리', 189), ('팔씨름', 182), ('보기', 180), ('배우', 171), ('생각', 155), ('평점', 148), ('보고', 143), ('더', 138), ('정말', 137), ('노잼', 114), ('돈', 114), ('사람', 113), ('좀', 112), ('것', 111), ('왜', 110), ('내용', 104), ('중간', 98), ('권율', 97), ('이', 96), ('웃음', 96), ('알바', 91), ('수', 90), ('기대', 87), ('결말', 87), ('역시', 87), ('신파', 85), ('거', 84), ('가족영화', 83), ('정도', 82), ('난', 80), ('저', 80), ('코믹', 80), ('어벤져스', 80), ('한국영', 79), ('시간', 79), ('때', 73), ('감독', 71), ('나름', 70), ('뭐', 69), ('추천', 69), ('애기', 66), ('아이', 63), ('안', 60), ('나', 60), ('끼리', 59), ('듯', 58), ('임', 56), ('걸', 55), ('전', 55), ('소재', 54), ('그', 54), ('연출', 54), ('애', 53), ('한예리', 53), ('장면', 52), ('때문', 52), ('억지', 51), ('캐릭터', 51), ('한국', 51), ('킬링타임', 51), ('팔뚝', 51), ('눈물', 50), ('이건', 50), ('용', 49), ('드라마', 49), ('함', 48), ('개그', 47), ('조금', 47), ('마', 45), ('움', 45), ('마지막', 44), ('별로', 43), ('느낌', 43), ('내', 43), ('수준', 42), ('개', 42), ('최고', 41), ('부분', 41), ('개인', 41), ('잼', 40), ('이야기', 40), ('팬', 40), ('클레멘타인', 39), ('전개', 39), ('하나', 39), ('엄마', 38), ('남', 38), ('한번', 38), ('예상', 38)]"
23,"[('영화', 3226), ('진짜', 656), ('점', 595), ('이', 576), ('생각', 562), ('평점', 535), ('감독', 530), ('돈', 488), ('연기', 476), ('류승룡', 449), ('정유미', 421), ('보고', 388), ('볼', 384), ('그냥', 368), ('정말', 366), ('배우', 365), ('왜', 362), ('부산', 358), ('더', 344), ('행', 342), ('사람', 335), ('것', 335), ('재미', 316), ('시간', 303), ('정도', 294), ('소재', 288), ('나', 284), ('내', 275), ('스토리', 274), ('초능력', 268), ('좀', 261), ('히어로', 258), ('한국', 255), ('거', 226), ('최악', 226), ('뭐', 222), ('말', 217), ('상호', 210), ('감동', 209), ('기대', 204), ('수', 202), ('때', 199), ('저', 196), ('리얼', 190), ('코미디', 184), ('꼭', 181), ('처음', 181), ('심은경', 172), ('웃음', 172), ('이건', 171), ('내용', 162), ('안', 154), ('난', 152), ('보기', 151), ('걸', 151), ('사회', 150), ('최고', 149), ('현실', 148), ('염병', 147), ('듯', 147), ('임', 144), ('알바', 144), ('중간', 141), ('그', 137), ('노잼', 131), ('나름', 131), ('개', 126), ('장면', 126), ('수준', 124), ('하나', 124), ('물', 122), ('느낌', 121), ('도', 121), ('한국영', 120), ('쓰레기', 114), ('관객', 112), ('용산참사', 111), ('보지', 111), ('인생', 110), ('이영화', 109), ('함', 108), ('클레멘타인', 108), ('제', 108), ('작품', 107), ('전', 106), ('급', 106), ('개연', 104), ('연출', 100), ('댓글', 98), ('역시', 97), ('추천', 95), ('욕', 95), ('요', 95), ('끝', 94), ('만', 93), ('코믹', 93), ('완전', 92), ('별로', 88), ('실망', 87), ('한번', 87)]"
24,"[('영화', 3251), ('점', 901), ('액션', 843), ('강동원', 812), ('평점', 737), ('배우', 734), ('진짜', 666), ('왜', 645), ('스토리', 641), ('감독', 584), ('원작', 564), ('한효주', 562), ('이', 552), ('돈', 523), ('생각', 442), ('정우성', 434), ('보고', 431), ('내용', 403), ('볼', 402), ('그냥', 371), ('사람', 370), ('연기', 365), ('것', 355), ('정말', 349), ('좀', 348), ('더', 340), ('정도', 338), ('노잼', 324), ('시간', 316), ('말', 312), ('멜로', 309), ('리얼', 304), ('나', 302), ('김지운', 297), ('거', 295), ('뭐', 283), ('재미', 272), ('내', 269), ('이해', 258), ('최악', 239), ('걸', 238), ('개', 227), ('개연', 220), ('이건', 203), ('하나', 203), ('안', 203), ('테러', 203), ('임', 194), ('때문', 192), ('작품', 192), ('느낌', 191), ('알바', 183), ('때', 181), ('쓰레기', 179), ('난민', 175), ('그', 175), ('난', 171), ('처음', 166), ('저', 165), ('기대', 162), ('부분', 161), ('별로', 159), ('수준', 158), ('도', 154), ('로맨스', 154), ('연출', 153), ('망작', 152), ('얼굴', 150), ('한국', 147), ('중간', 147), ('함', 146), ('애니', 146), ('꼭', 140), ('끝', 139), ('댓글', 139), ('듯', 139), ('수', 138), ('나름', 134), ('보지', 131), ('한국영', 129), ('관객', 128), ('못', 127), ('최고', 126), ('무슨', 122), ('이야기', 118), ('눈', 115), ('전개', 110), ('보기', 110), ('신', 110), ('장면', 109), ('씬', 107), ('인생', 106), ('역시', 106), ('별', 105), ('소리', 104), ('전', 101), ('자체', 100), ('액션씬', 100), ('평가', 99), ('움', 98)]"
25,"[('아이', 651), ('살', 497), ('아들', 486), ('공룡', 246), ('카봇', 212), ('집중', 163), ('영화', 156), ('어른', 120), ('애', 118), ('보고', 91), ('또', 91), ('정말', 84), ('시간', 83), ('저', 80), ('더', 67), ('세', 67), ('보기', 65), ('최고', 62), ('딸', 59), ('스토리', 57), ('헬로', 54), ('중간', 52), ('끝', 45), ('처음', 44), ('로봇', 43), ('아빠', 43), ('엄마', 43), ('생각', 42), ('좀', 42), ('때', 41), ('내용', 41), ('재미', 40), ('아주', 38), ('완전', 36), ('극장판', 33), ('우리', 32), ('노래', 32), ('조금', 32), ('관람', 31), ('요', 30), ('초집', 30), ('극장', 30), ('눈', 30), ('안', 30), ('감동', 29), ('영화관', 29), ('방학', 29), ('제', 28), ('볼', 28), ('것', 24), ('진짜', 24), ('퀄리티', 23), ('재미나', 22), ('번', 22), ('잼', 22), ('굿', 21), ('실감', 21), ('한번', 20), ('역시', 19), ('딸아이', 19), ('정도', 19), ('개월', 19), ('변신', 18), ('집', 18), ('도', 18), ('조합', 18), ('해', 18), ('추천', 18), ('강추', 18), ('계속', 17), ('달라', 17), ('그래픽', 17), ('이야기', 17), ('애니메이션', 16), ('가족', 16), ('모두', 16), ('울', 16), ('시계', 16), ('깔깔', 16), ('애기', 15), ('기대', 15), ('전', 15), ('상영', 15), ('용', 15), ('장면', 15), ('얘기', 14), ('티비', 14), ('무척', 14), ('친구', 14), ('재밋', 14), ('내내', 14), ('남자', 14), ('푹', 14), ('대요', 14), ('나름', 14), ('살딸', 13), ('조카', 13), ('그냥', 13), ('수', 13), ('느낌', 13)]"
26,"[('영화', 1650), ('배우', 681), ('수애', 481), ('감독', 402), ('연기', 324), ('돈', 316), ('점', 298), ('스토리', 298), ('진짜', 271), ('생각', 248), ('박해일', 240), ('이', 238), ('평점', 232), ('왜', 219), ('그냥', 212), ('볼', 206), ('것', 201), ('보고', 196), ('내용', 175), ('신', 157), ('사람', 155), ('좀', 148), ('시간', 146), ('정말', 144), ('윤제문', 139), ('베드', 138), ('노출', 131), ('욕망', 127), ('뭐', 123), ('더', 114), ('쓰레기', 113), ('말', 112), ('야동', 111), ('장면', 107), ('별로', 105), ('현실', 103), ('최악', 102), ('거', 101), ('내', 99), ('작품', 96), ('결말', 96), ('느낌', 96), ('정도', 95), ('움', 95), ('재미', 94), ('그', 93), ('기대', 93), ('안', 93), ('듯', 87), ('걸', 87), ('나', 80), ('사회', 79), ('리얼', 79), ('연기력', 79), ('눈', 78), ('때문', 78), ('중간', 76), ('노잼', 75), ('마지막', 73), ('저', 72), ('개', 71), ('임', 68), ('역시', 67), ('알바', 64), ('뭘', 64), ('배드', 63), ('연출', 63), ('똥', 62), ('기분', 62), ('함', 62), ('수준', 62), ('이해', 62), ('끝', 61), ('보지', 61), ('수', 60), ('하나', 60), ('도', 59), ('포르노', 58), ('출연', 56), ('무슨', 55), ('마오', 55), ('김규선', 55), ('점도', 55), ('실망', 54), ('시나리오', 54), ('삼류', 53), ('마무리', 53), ('일본', 51), ('나름', 51), ('때', 51), ('예술', 51), ('드라마', 51), ('표현', 50), ('한국영', 50), ('이야기', 50), ('처음', 50), ('관객', 49), ('개연', 49), ('보기', 49), ('부자', 48)]"
